epithet_id|epithet|alternate_name|trade_designations|species|etymology|sex|reference_epithet|reference_breeders|reference_tests|awards|source_type|year_selected|Interspecific_hybrid|familiy_id|mother|father|origin_lat_long|origin_place|description|originator_breeder|registrant|nominator|introducer|keeper|nominator_desc|standard_herbarium |name_status|name_status_note|current_cultivation|checklist_record|contact_info
|‘SX69’|||S. miyabeana Seemen|||LandSaga Biogeographical Inc., Ontario, Canada;  Clone Directory of the Poplar and Willow Council of Canada||||1988|||||||Japan|A fast-growing clone originally selected from native habitats at Hokkaido, Japan, for biomass experiments and sent to the Ministry of Natural Resources, Brockville, Ontario, Canada, in 1988 by Shigeru Chiba who identified it as a clone of S. miyabeana Seemen. It was later distributed by the University of Toronto. ‘SX69’ was registered by the LandSaga Biogeographical Inc., Ontario, Canada, in the Clone Directory of the Poplar and Willow Council of Canada.|Shigeru Chiba |||||||Established|||||
|‘Verona’|||S. miyabeana Seemen|||Ngantcha, 2010||||||||||||This cultivar was listed in the biomass collection at the Center for Northern Agroforestry and Afforestation, University of Saskatchewan, Canada (Clone ID 99201-002) (Ngantcha, 2010).   ||||||||Established|||||
|‘Corail’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with yellow-brown stems (Stott, 2001).||||||||Established|||||
|‘Deventer Rood’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with red-brown stems (Stott, 2001).||||||||Established|||||
|‘Farndon’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with red-brown stems listed as a cultivar of S. ×treviriani Wimm. ex Andersson (S. triandra L. × S. viminalis L.) (Stott, 2001). ||||||||Established|Note: Because this name has been established for more than one cultivar within the denomination class Salix, but within different species, this epithet must be linked to the name of the species to which it applies.||||
|‘Green Wigston’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with green-brown stems (Stott, 2001).||||||||Established|||||
|‘Jefferies’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with light-brown stems (Stott, 2001). ||||||||Established|‘Jefferies’ was the accepted name for a male cultivar in the 2018 RHS HD. |‘Jefferies’ was sold by one UK nursery (2018 RHS PF). |||
|‘Kottenheider Weide’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. undulata with olive-green stems (Stott, 2001). ||||||||Established|‘Kottenheider Weide’ was the tentatively accepted name for a female cultivar of S. ×mollissima var. undulata in the 2018 RHS HD. |‘Kottenheider Weide’ was sold by one UK nursery (2018 RHS PF). |||
|‘Lanceolata’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)||female |Bean; 1981||||1805||||||||A female clone, widely distributed in Britain, described by Bean (1981) as a large shrub with leaves finely tapered at the apex, silky at first and later glabrous. Branchlets are olive-brown. Older bark flaking as in S. triandra L. ‘Lanceolata’, previously regarded as a hybrid of S. alba L. and S. triandra L., was described by James Smith in 1805 as S. lanceolata Ser. and belongs to var. undulata (Ehrh.) Wimmer, according to Bean (1981). ||||||||Established|Note: Because this cultivar name in the Latin form was established before 1 January 1959 and has been repeated within the denomination class Salix, but with different species, this epithet must be linked to the name of the species to which it applies (ICNCP, 2016, Art. 21.7).||||
|‘Notts Spaniard’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)||male |Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with red-brown stems (Stott, 2001). ||||||||Established|‘Notts Spaniard’ was the tentatively accepted name for a male cultivar in the 2018 RHS HD. |‘Notts Spaniard’ was sold by one UK nursery (2018 RHS PF). |||
|‘Parfitt’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with olive-green stems (Stott, 2001).||||||||Established|||||
|‘Pheasant Brown’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with light-brown stems (Stott, 2001). ||||||||Established|‘Pheasant Brown’ was the tentatively accepted name in the 2018 RHS HD. |‘Pheasant Brown’ most recently sold by one UK nursery in 2011 (2013 RHS PF).|||
|‘Sarda’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with red-brown stems (Stott, 2001). ||||||||Established|Note: Because this name has been established for more than one cultivar within the denomination class Salix, but within different species, this epithet must be linked to the name of the species to which it applies. ||||
|‘Stinchcombe’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with light-brown stems (Stott, 2001). ||||||||Established|‘Stinchcombe’ was the tentatively accepted name for a male cultivar in the 2018 RHS HD. |‘Stinchcombe’ most recently sold by one UK nursery in 2011 (2013 RHS PF).|||
|‘Q83 (77083)’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. undulata with olive-green stems (Stott, 2001).||||||||Established|‘Q83 (77083)’ was the tentatively accepted name in the 2018 RHS HD. |‘Q83 (77083)’ most recently sold by one UK nursery in 2013 (2013 RHS PF). |||
|‘ST/2481/55’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. undulata with olive-green stems (Stott, 2001).||||||||Established|||||
|‘Taylor’s Brown’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with olive-green stems (Stott, 2001).||||||||Established|||||
|‘Trevirani’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)||male |Newsholme, 1992||||||||||||An ornamental male clone with erect habit (Newsholme, 1992).||||||||Established|||||
|‘Trustworthy’|||S. ×mollissima Hoffm. ex Elwert (S. triandra L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar of S. ×mollissima var. hippophaifolia with red-brown stems (Stott, 2001).||||||||Established|‘Trustworthy’ was the tentatively accepted name for a male cultivar in the 2018 RHS HD. |‘Trustworthy’ was the tentatively accepted name for a male cultivar in the 2018 RHS HD. |||
|‘Monotur’|||S.|||CPVO|||||||||||Poland|No description for this cultivar was found. ‘Monotur’ was listed in the CPVO as registered by the Uniwersytet Warminsko-Mazurski w Olsztynie, Poland, in 2009 (grant No. O2210) and published in the Diariusz—Polish Gazette for Plant Breeders' Rights and National List.||||||||Established|||||
|‘Alexis’|||S. monticola Bebb.|||LNWP 2016–2020||||||||||||No description for this cultivar was found. ||||||||Established|‘Alexis’ was the preferred name in the LNWP 2016–2020. |‘Alexis’ was the preferred name in the LNWP 2016–2020. |||
|‘Moutere’|||S.||male |National Poplar and Willow Users Group, 2007|||||||||||New Zealand|A vigorous male clone with narrow dense crown, straight stems and blue-green foliage (National Poplar and Willow Users Group, 2007). In New Zealand this clone retains foliage until early June, later than other willows. It is suitable for shelterbelts and for soil conservation planting, as its growth is superior to that of other cultivars on very exposed sites. ‘Moutere’ is best suited to moist gullies, as it requires moist soil year round.||||||||Established|||||
|‘Muscina’|||S.|||||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Muscina’ was the tentatively accepted name in the 2018 RHS HD.||||
|‘Bronze Beauty’|||S. myricoides Muhl.||female |Vermont Willow Nursery, Vermont, US||||2014|||||||US|A female cultivar having leaves with bronze topsides and glaucous, almost white, undersides, according to the Vermont Willow Nursery, Vermont, US, 2018 online catalog. M. Dodge discovered this branch sport on a plant from Wisconsin, US, and propoagated it in 2014. It is more vigorous and has larger leaves than the species. |M. Dodge|||||||Not established|||||
|‘Bief Froid’|||S. myrsinifolia Salisb.||male |Newsholme, 1992||||||||||||A male clone similar to S. myrsinifolia subsp. alpicola (Buser ) Kerguélen (Newsholme, 1992).||||||||Established|||||
|‘Black Knight’|||S. myrsinifolia Salisb.|||||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established.||||||||Not established|‘Black Knight’ was the tentatively accepted name in the 2018 RHS HD. |‘Black Knight’ most recently sold by one UK nursery in 2013 (2013 RHS PF).  |||
|‘Blackskin’|||S. myrsinifolia Salisb.|||Vermont Willow Nursery, Vermont, US, 2018 online catalog||||||||||||No published reference found; therefore, this name was not established. A compact 1.8–3 m ornamental shrub with glossy black stems and attractive dark green foliage selected in the Eastern European Alps (Vermont Willow Nursery, Vermont, US, 2018 online catalog). ||||||||Not established|‘Blackskin’ was the tentatively accepted name (as S. ‘Blackskin’) for a female clone in the 2018 RHS HD. |‘Blackskin’ was cultivated in a few American nurseries and by one UK nursery (2018 RHS PF). |||
|‘Cotinifolia’|||S. myrsinifolia Salisb.|||||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Cotinifolia’ was the tentatively accepted name in the 2018 RHS HD. |‘Cotinifolia’ most recently sold by one UK nursery in 2011 (2013 RHS PF). |||
|‘Faucille’|||S. myrsinifolia Salisb.|||2018 RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Faucille’ was the tentatively accepted name in the 2018 RHS HD.|‘Faucille’ most recently sold by one UK nursery in 2011 (2013 RHS PF).  |||
|‘Pink Tassels’|||S. myrsinites L.||male |Hillier, 2014||||||||||||A male cultivar with maroon filaments and purple anthers, according to Hillier (2014), where it was mistakenly listed as a cultivar of S. myrtilloides L. Based on the morphological characters, this is a cultivar of S. myrsinites L.: it has shiny and dark leaves, while leaves of S. myrtilloides are rather dull and pale (T.Uronen, pers. comm., June 2015). According to the Arrowhead Alpines, Michigan, US, 2004 printed catalog, a mat-forming plant with small leaves. ||||||||Established|‘Pink Tassels’ was the preferred name in the LNWP 2016–2020 as a cultivar of S. myrtilloides and the accepted name in the 2018 RHS HD as a cultivar of S. myrtilloides. |‘Pink Tassels’ was sold by one North American nursery (2014 PIO), one UK nursery (2018 RHS PF) and was found in trade in the Netherlands (2018 PS). |||
|‘Nectar’|||S.|||CPVO  |CPVO grant No. 2210||||||||||Russia|No description for this cultivar was found. ‘Nectar’ was registered by the FGBOU VPO Povolzhhskij Gosudarstvennyj Tehnologicheskij Universitet, Russia, in 2004 (CPVO grant No. 2210) and published in the Plant Breeder's Rights Russia.||||||||Established|||||
|‘Alonzo Nigra 4 INTA’| ||S. nigra Marshall|The cultivar name refers to a researcher Wilfredo Alonzo Barrett.||CPVO;  2012 Report of the National Poplar Commission of Argentina|CPVO grant No. 013140||||||||||Argentina|No description for this cultivar was found. ‘Alonzo Nigra 4 INTA’ was registered by the Instituto Nacional de Technologia Agropecuaria (INTA), Argentina, in 2011 (CPVO grant No. 013140) and published in the Catálogo Nacional de Cultivares. It was listed as a cultivar of S. nigra Marshall among five willow clones currently used in production in the Paraná Delta region of Argentina in the 2012 Report of the National Poplar Commission of Argentina submitted to the IPC FAO. ||||||||Established|||||
|‘Webb’|||S. nigra Marshall|||Woodlanders Nursery, Aiken, South Carolina, US|||||||||||US|No published reference was found; therefore, this name was not established. According to the Woodlanders Nursery, Aiken, South Carolina, US, this cultivar, introduced by this nursery, has a distinctive vase-shape forming a small dense tree. The original tree was found on the farm of Ch. Webb in Madison County, Florida, US. ||||||||Not established|‘Webb’ was sold by one North American nursery (2014 PIO). ||||
|‘Nils’|||S.|||National Plant Variety Board Gazette|CPVO|||1994|||||||Sweden|No description for this cultivar was found. ‘Nils’ was listed in the CPVO as registered by the Saxhytte Gård AB, Sweden, in 1994 and published in the National Plant Variety Board Gazette.||Saxhytte Gård AB||||||Established|||||
|‘Nimrod’|||S.|||Caslin et al., 2012|CPVO grant No. 20292|||2007||||||||No description for this cultivar was found. ‘Nimrod’ is listed as an outclassed biomass cultivar removed from the marketplace due to poor performance (Caslin et al., 2012). Nimrod was registered by the Murray Carter, Rothamsted Research Ltd., and Lantmännen ek för in 2007 (CPVO grant No. 20292) and published in the CPVO Gazette.||Murray Carter, Rothamsted Research Ltd., and Lantmännen ek för||||||Established|‘Nimrod’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD.||||
|‘Nora’|||S.||female |CPVO  |CPVO, EU21971|||1994||x||S. ‘SW 901321’ |S. ‘SW 881128’||Sweden|A female cultivar developed for bioenergy plantations by Svalöf Weibull AB, Sweden. This is a hybrid of S. ‘SW 901321’ (a clone from Russia) and S. ‘SW 881128’; the cross was made in 1994 at Svalöv, Sweden, by S. Larsson (S. Larsson and B. Gertsson, pers. comm., January 2017). S. ‘Nora’ was granted EU PBR in March 2008 (CPVO, EU21971, owned by Lantmännen ek. för.), which were terminated in August 20013.|S. Larsson |||Svalöf Weibull AB||||Established|‘Nora’ was the accepted name in the 2018 RHS HD.||||
|‘Northern Fountains’|||S.|||2018 PIO||||||||||||No description was found; therefore, this name was not established. ||||||||Not established|’Northern Fountains’ was sold by one North American nursery (2018 PIO). ||||
|‘Olof’|||S.||male |CPVO  |CPVO, EU6036|||||x||S. ‘Bowles Hybrid’ |S. ‘Björn’||Sweden|A male cultivar developed for bioenergy plantations by Svalöf Weibull AB, Sweden. This is a hybrid of S. ‘Bowles Hybrid’ and S. ‘Björn’. The cross was made in 1992 at Svalöv, Sweden, by S. Larsson. S. ‘Olof’ is a robust cultivar exhibiting high biomass yield; it is browse resistant and during flowering attracts pollinators (S. Larsson and B. Gertsson, pers. comm., January 2017). S. ‘Olof’ was granted EU PBR in June 2000 (CPVO, EU6036, owned by Lantmännen ek. för.). |S. Larsson|||Svalöf Weibull AB||||Established|‘Olof’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD. |‘Olof’ was found in trade in the Netherlands (2018 PS).   |||
|‘Oneida’|||S.||male |Plant Patent US | US PP No. 17,682 issued in 2007|||1999||x||S. purpurea L. ‘94006’ |S. miyabeana Seemen  ‘SX67’||US|A fast-growing male hybrid clone produced at the State University of New York, New York, US, in 1999 by crossing S. purpurea L. ‘94006’ and S. miyabeana Seemen  ‘SX67’. It was selected for high biomass yield and disease resistance; suitable for bioenergy plantations, ornamental plantings, snow fences, and privacy hedges (https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/4999/files/2014/10/Oneida-new-08_03_2010-23cqhbr.pdf; accessed 1 October 2018.) ‘Oneida’ was published in the Plant Patent US (US PP No. 17,682 issued in 2007; https://patents.google.com/patent/US20070083961?oq=ininventor:"Lawrence+B.+Smart"). ‘Oneida’ was listed in the CPVO. ||||State University of New York, New York||||Established|||||
|‘Oneonta’|||S.|||2018 RHS HD||||||x||S. purpurea L. |× S. miyabeana Seemen ||Canada |A fast-growing hybrid of S. purpurea L. × S. miyabeana Seemen grown in the biomass collection at the Center for Northern Agroforestry and Afforestation, University of Saskatchewan, Canada (Clone No. 9879) (Ngantcha, 2010). It was selected for high biomass yield. ‘Oneonta’ is recommended for bioenergy plantations by Cornell University (https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/4999/files/2014/10/Cultivar-Diversity_Pest-Disease-Ratings_2015_8_10_pgs-merged-v7-27s4mzz.pdf; accessed 1 October 2018).||||||||Established|||||
|‘Onoga’|||S.|||2018 RHS HD. ||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Onoga’ most recently sold by a UK nursery in 1998 (2018 RHS PF).||||
|‘Onondaga’|||S.||male |Plant Patent US |US Plant Patent No 17,710 issued in 2007|||1999||x||S. koryanagi Kimura ex Goerz ‘SH3’ |S. purpurea L. ‘94002’ ||US|A fast-growing male clone produced at the State University of New York, New York, US, in 1999 by crossing S. koryanagi Kimura ex Goerz ‘SH3’ and S. purpurea L. ‘94002’ (US Plant Patent No 17,710 issued in 2007). This cultivar was selected for high biomass yield and disease resistance; suitable for bioenergy plantations, living snow fences, streambank restoration, riparian buffers, and basketry (https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/4999/files/2014/10/Onondaga-new-2010_08_03-1epfcgl.pdf; accessed 1 October 2018).||||||||Established|||||
|‘Onusta’|||S.||male |2018 RHS HD||||||||||||No description for this cultivar was found. ||||||||Established|‘Onusta’ was the accepted name for a male cultivar in the 2018 RHS HD. |‘Onusta’ was most recently listed by a UK nursery in 2009 (2013 RHS PF).|||
|‘Oresund’ |syn. ‘Öresund’||S.||female |LNWP 2010–2015||||||||||||No description for this cultivar was found. Listed by Saarinen (2004) as an obscure cultivar of Scandinavian origin, which was considered to be hardier in Finland than S. ×pendulina f. salamonii I.V. Belyaeva ‘Chrysocoma’ (as S. ×salamonii ‘Chrysocoma’). A female clone with red branchlets; young leaves and branchlets are only sparsely and finely pubescent (T. Uronen, pers. comm., July 2015). ||||||||Established|‘Oresund’ was the preferred name for a cultivar of S. alba L. in the LNWP 2010–2015.|‘Oresund’ was found in trade in the Netherlands (PS). |||
|‘Orm’|||S.||male |CPVO  |CPVO, EU0478|||||||S. ‘L 78195’ |S. ‘L 78101’||Sweden|A male cultivar developed for bioenergy plantations by Svalöf Weibull AB, Sweden. This is a hybrid of S. ‘L 78195’ and S. ‘L 78101’, both parents are from the clonal collection located at The Swedish Agricultural University in Uppsala. The cross was made in 1987 at Svalöv, Sweden, by S. Larsson (S. Larsson and B. Gertsson, pers. comm., January 2017). S. ‘Orm’ was granted Swedish PBR in May 1992 (SE722), which were terminated in March 1997. In August 1996 it was granted EU PBR (CPVO, EU0478, owned by Lantmännen ek. för.), which were terminated in September 2013. |S. Larsson |||Svalöf Weibull AB||||Established|‘Orm’ was the accepted name in the 2018 RHS HD. ‘Orm’ was found in trade in the Netherlands (2018 PS).  ||||
|‘Otisco’|||S.||female |Plant Patent US |US PP No.17,997 issued in 2007|||1999||x||S. viminalis L. ‘SV2’ |S. miyabeana Seemen ‘SX64’||US|A fast-growing female hybrid clone produced at the State University of New York, New York, US, in 1999 by crossing S. viminalis L. ‘SV2’ and S. miyabeana Seemen ‘SX64’. It was selected for high biomass yield and disease resistance. This cultivar is suitable for bioenergy plantations, ornamental plantings, snow fences and privacy hedges (https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/4999/files/2014/10/Otisco-new-08_03_2010-1nbrp8d.pdf; accessed 1 October 2018). ‘Otisco’ was published in the Plant Patent US (US PP No.17,997 issued in 2007; https://patents.google.com/patent/US20070083963?oq=ininventor:"Lawrence+B.+Smart"; accessed 1 October 2018). ||||State University of New York, New York||||Established|‘Otisco’ was listed in the CPVO.||||
|‘Owasco’|||S.||female |Plant Patent US|US PP No.17,845 issued in 2007|||1999||x||S. viminalis L. ‘SV7’ |S. miyabeana Seemen ‘SX64’||US|A fast-growing female hybrid clone produced at the State University of New York, New York, US, in 1999 by crossing S. viminalis L. ‘SV7’ and S. miyabeana Seemen ‘SX64’. It was selected for high-yield and disease resistance. This cultivar is suitable for bioenergy plantations, ornamental plantings, living snow fences and privacy hedges (https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/4999/files/2014/10/Owasco-new-08_03_2010-2bug5fp.pdf; accessed 1 October 2018). ‘Owasco’ was published in the Plant Patent US (US PP No.17,845 issued in 2007; https://patents.google.com/patent/US20070083960?oq=ininventor:"Lawrence+B.+Smart"; accessed 1 October 2018). ||||State University of New York, New York||||Established|||||
|PAMIATI RAISY GORBACHEVOĬ |syn. PAMIATI RAISY GORBACHEVOJ; The trade designation for S. pendulina f. salamonii I.V. Belyaeva ‘Pamiati Mindovskogo’.||||||||||||||||Russia|S. PAMIATI RAISY GORBACHEVOĬ  was listed in the CPVO as proposed by OOO ‘Bruns Pflantsen’, Russia, in 2000 and published in the Plant Breeder's Rights Russia. |||||||||||||
|‘Paulinka’|||S.|||CPVO grant No. 02207||||2009|||||||Poland|No description for this cultivar was found. ‘Paulinka’ was registered by Gospodarstwo Rolne dr inz. Jan Wieslaw Dubas, Poland, in 2009 (CPVO grant No. 02207) and published in the Diariusz—Polish Gazette for Plant Breeders' Rights and National List.||||||||Established|||||
|‘Paramore’|||S.|||||||||||||||No description for this cultivar was found. ||||||||Established|‘Paramore’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD.||||
|‘Blanda’ |syn. S. blanda Andersson (1867), S. ´pendulina var. blanda||S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)||female | Chmelar, 1983; Bean, 1981||||||||||||A female weeping cultivar with less pendulous branches than ‘Elegantissima’ or S. ×pendulina f. salamonii I.V. Belyaeva ‘Chrysocoma’ (as S. ×salamonii (Carrière) Carrière ‘Chrysocoma’) and with more silvery leaf undersides (http://www.kew.org/science-conservation/plants-fungi/salix-x-sepulcralis-golden-weeping-willow; accessed 28 September 2018). One of the most widely sold weeping willows, especially in North America where it is known as the “Thurlow weeping willow” and often listed as S. babylonica L. or ‘Tristis’. According to Chmelar (1983), this is an old artificial cross originating in Germany about 1831. The branches are grey-green; branchlets are brittle and pendulous down to the ground. Chmelar described it as a female clone with rough bark and “horny-tipped” buds; the leaves, which have well-developed stipules, shed early in autumn. It was described by Andersson in 1867 as a specimen collected in a garden in Hessen, Germany, and later introduced into commerce by Späth of Berlin (Bean, 1981). The appellation to the common name of S. ´pendulina var. blanda in the American trade as “Wisconsin weeping willow” might indicate that the plant was hardy in that state. This cultivar may encompass several clones.||||||||Established|‘Blanda’ was the preferred name in the LNWP 2016–2020.  |‘Blanda’ was sold by three North American nurseries as S. ‘Wisconsin’ (2018 PIO). |||
|‘Elegantissima’|This epithet most likely corresponds to S. ´pendulina Wender var. elegantissima (K.Koch) Meikle (1985); syn. S. elegantissima K.Koch (1871). ||S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)||| Chmelar, 1983; ||||||||||||This cultivar is similar to the most common weeping willow S. ×pendulina f. salamonii I.V. Belyaeva ‘Chrysocoma’, but without the yellow branches (http://www.kew.org/science-conservation/plants-fungi/salix-x-sepulcralis-golden-weeping-willow; accessed 10 December 2014). According to Chmelar (1983), it is similar to ‘Blanda’ with the slight difference in hairiness of the ovary’s base. There are no androgynous catkins (that is, male and female flowers are not both present in the same catkin), nor do both sexes occur on the same or separate branchlets, as in S. × pendulina f. salamonii (I.V. Belyaeva, pers. comm. January 2014). ||||||||Established|‘Elegantissima’ was the preferred name in the LNWP 2016–2020. Note: Because this name has been established for more than one cultivar within the denomination class Salix, but within different species, this epithet must be linked to the name of the species to which it applies.  |‘Elegantissima’ was sold by one North American nursery (2018 PIO). |||
|‘Fan Giant’|||S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)|||2014 PIO||||||||||||No published reference was found; therefore, this name was not established. According to the 2014 online catalog of the Dave Wilson Nursery, California, US, this is a very vigorous selection with bluish-green leaves that is less susceptible than other willows to borers. It reaches 12–15 m in height, has a broad growth habit and somewhat less weeping than other pendulous cultivars branches. ||||||||Not established|‘Fan Giant’ was sold by two North American nurseries (2014 PIO). |Dirr (2009) lists a similar cultivar with blue-green foliage as S. babylonica L. ‘Blue Fan’.|||
|‘Fantasia’|||S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)| ‘Fantasia’ translates from Russian language as “Fantasy”. |androgynous |Marchenko, 2017|||||||| | ||Russia|A hybrid of S. alba L. × S. ×pendulina Wender. f. pendulina  (listed as S. ´pendulina Wender. ‘Blanda’ × S. alba L.) with a broad lacy crown developed by V.I. Schaburov and  I.V. Belyaeva at the Botanic Gardens of the Ural Branch of the Russian Academy of Sciences, Yekaterinburg, Russia (Belyaeva et al., 2000). The type specimen is 13.5 m tall with a trunk diameter 79 cm at the age of 45 years (Marchenko, 2017). This cultivar was grouped by Marchenko (2017) with others Schaburov’s cultivars: ‘Schater 1’, ‘Valentina Tereshkova’ and ‘Scharovidnii Karlik’, under the heading “Shaburov’s willow hybrids with green bark and pendulous branches”, where “pendulous” means less drooping than in weeping cultivars.  ‘Fantasia’ has a robust trunk. Its fine-textured broad oval crown is formed by very thin branches deviating from larger stems.  Medium-sized sickle-shaped leaves form a lacey crown. Marchenko (2017) described that it resembles „greenish foggy balloons floating and tangled within the crooked stems of the tree”. Leaves are light green above with grayish undersides. It has male, female and androgynous catkins, but the flowering is not very spectacular whe compare to other cultivars because of the high proportion of female flowers. Seed production is minimal and there is no problem with wind-blown “cotton” during springtime. This cultivar can be planted as a specimen in small or large gardens.  Foliage is susceptible to fungal diseases, which is noticeable only at close range. Tip blight can be a problem during humid summers, or mites may infect this plant during drought.  |V.I. Schaburov and  I.V. Belyaeva |||Botanic Gardens of the Ural Branch of the Russian Academy of Sciences, Yekaterinburg|||Standard: MHA; duplicate: SVER]. A hybrid of S. alba L. × S. ×pendulina Wender. f. pendulina  (listed as S. ´pendulina Wender. ‘Blanda’ × S. alba L.|Established|||||
|‘Ideal’|||S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)||||||||||| | ||Russia|A fast-growing tree with a straight trunk and pendulous branches; it does not flower. A hybrid of S. ´pendulina Wender. ‘Blanda’ × S. alba L. developed by V.I. Schaburov and  I.V. Belyaeva at the Botanic Gardens of the Ural Branch of the Russian Academy of Sciences, Yekaterinburg, Russia (Belyaeva et al., 1999). |V.I. Schaburov and  I.V. Belyaeva |||Botanic Gardens of the Ural Branch of the Russian Academy of Sciences, Yekaterinburg|||Standard: MHA; duplicate: SVER|Established|||||
|‘Pendulina’|||S. × pendulina f. pendulina (S. alba L. × S. babylonica L. × S. euxina I.V.Belyaeva)|||R. Govaerts, pers. comm., September 2014|||||||||||Germany|No description or published reference for this cultivar was found; therefore, this name was not established. A weeping selection that originated in Germany, but is now widely naturalized throughout the temperate northern and southern hemispheres (R. Govaerts, pers. comm., September 2014).||||||||Not established|||||
